id,protected,Title,Company,Location,Duration,Stipend_per_month,Apply By,Applicants,Skills Required,Perks,Number of Openings,Incentives,Category
43,78260662,Social Media Marketing,Wealth Socials,Work From Home,6,3000,10 Feb' 22,Be an early applicant,"Copywriting , Creative Writing , Digital Marketing , Email Marketing , English Proficiency (Spoken) , English Proficiency (Written) , Facebook Marketing , Instagram Marketing , Search Engine Marketing (SEM) , Social Media Marketing , ","Certificate , Letter of recommendation , Flexible work hours , ",2,0,Marketing
44,44083060,Human Resources (HR),Silver Bullet Corporation,Noida,4,4000,31 Jan' 22,Be an early applicant,,"Certificate , Letter of recommendation , Job offer , ",2,0,Human Resources
45,11844022,Content Writing,The Brand Compass,Work From Home,3,2000,7 Feb' 22,Be an early applicant,"English Proficiency (Spoken) , English Proficiency (Written) , Search Engine Optimization (SEO) , ","Certificate , Letter of recommendation , Flexible work hours , 5 days a week , ",2,0,Content Writing
46,47094006,Business Development (Sales),Interloop Consulting,Gurgaon,2,4000,12 Feb' 22,Be an early applicant,"English Proficiency (Spoken) , English Proficiency (Written) , MS-Excel , Social Media Marketing , ","Certificate , Letter of recommendation , 5 days a week , Job offer , ",3,1,Marketing
47,14239402,Content Writing,Xcrino Business Solutions,Work From Home,6,5000,3 Feb' 22,Be an early applicant,"English Proficiency (Written) , ","Certificate , Letter of recommendation , 5 days a week , ",2,0,Content Writing
48,79023310,Digital Marketing,IIIRPD,Hyderabad,3,2500,9 Feb' 22,Be an early applicant,,"Certificate , Letter of recommendation , 5 days a week , ",4,0,Marketing
49,98416420,Social Media Marketing,JBTEK,Work From Home,2,10000,1 Feb' 22,115 applicants,"Digital Marketing , Social Media Marketing , ","Certificate , Letter of recommendation , 5 days a week , Job offer , ",1,0,Marketing
50,4454310,Web Development,Airen Holidays Private Limited,Work From Home,3,5000,10 Feb' 22,122 applicants,,"Certificate , Letter of recommendation , Flexible work hours , 5 days a week , ",2,0,Computer Science
51,5643100,Mobile App Development,ShopGracias Technologies,Work From Home,2,10000,31 Jan' 22,Be an early applicant,"Android , Flutter , ","Certificate , Letter of recommendation , Flexible work hours , ",2,0,Computer Science
52,88162810,Digital Marketing,Ankercloud Technologies Private Limited,Work From Home,3,12000,5 Feb' 22,102 applicants,"Cloud Computing , Social Media Marketing , ","Certificate , Letter of recommendation , 5 days a week , Job offer , ",1,0,Marketing
53,13399360,Content Writing,OckyPocky,Faridabad,3,10000,4 Feb' 22,34 applicants,"Creative Writing , English Proficiency (Spoken) , English Proficiency (Written) , ","Certificate , Letter of recommendation , ",3,0,Content Writing
54,101939412,Social Media Marketing,A Pixel House,Work From Home,4,4000,29 Jan' 22,35 applicants,,"Letter of recommendation , ",4,0,Marketing
55,103927930,Social Media Marketing,The Arch Organisation,Work From Home,2,3000,31 Jan' 22,34 applicants,"Audio Making , Instagram Marketing , Salesforce , Social Media Marketing , ","Certificate , Letter of recommendation , Flexible work hours , 5 days a week , ",5,1,Marketing
56,36548170,Human Resources (HR),TRUST,Mumbai,6,10000,8 Feb' 22,Be an early applicant,"English Proficiency (Spoken) , MS-Excel , ","Letter of recommendation , ",2,0,Human Resources
57,42987792,Human Resources (HR),Teslek Electrical Contracts Private Limited,Delhi,3,5000,31 Jan' 22,26 applicants,"English Proficiency (Spoken) , English Proficiency (Written) , MS-Excel , MS-Office , MS-Word , ","Certificate , Letter of recommendation , ",2,0,Human Resources
58,111228762,Digital Marketing,Travelorr (A Unit Of ESPL),Guwahati,3,5000,12 Feb' 22,Be an early applicant,"Creative Writing , Digital Marketing , Email Marketing , English Proficiency (Spoken) , English Proficiency (Written) , Facebook Marketing , Instagram Marketing , Search Engine Marketing (SEM) , Search Engine Optimization (SEO) , Social Media Marketing , ","Certificate , Letter of recommendation , Informal dress code , ",1,0,Marketing
59,26868772,Graphic Design,Ignitize Consulting Services Private Limited,Gurgaon,6,10000,5 Feb' 22,Be an early applicant,"Adobe After Effects , Adobe Illustrator , Adobe Photoshop , Adobe Premiere Pro , ","Certificate , Letter of recommendation , Informal dress code , 5 days a week , Free snacks & beverages , ",2,0,Graphic Design
60,381406,Web Development,Embedded Business Solution,Work From Home,6,15000,11 Feb' 22,38 applicants,"AngularJS , HTML , ","Certificate , Job offer , ",1,0,Computer Science
61,30741580,Graphic Design,Easy Admissions,Bangalore,5,7000,1 Feb' 22,Be an early applicant,,"Certificate , Letter of recommendation , ",3,0,Graphic Design
62,102080812,Search Engine Optimization (SEO),Ibrat Innovations,Delhi,3,3000,29 Jan' 22,Be an early applicant,"Search Engine Optimization (SEO) , ","Certificate , Letter of recommendation , Flexible work hours , Job offer , ",5,0,Marketing
63,83238352,Social Media Marketing,Sugar Cubes Enterprises,Delhi,3,10000,8 Feb' 22,Be an early applicant,"Adobe Illustrator , Adobe Photoshop , Social Media Marketing , ","Certificate , Letter of recommendation , Informal dress code , Job offer , ",4,0,Marketing
64,66447052,Business Development (Sales),3D Print World Private Limited,Mumbai,6,15000,2 Feb' 22,42 applicants,"Email Marketing , MS-Excel , MS-PowerPoint , MS-Word , ","Certificate , Letter of recommendation , ",3,0,Marketing
65,65893906,Business Development (Sales),The In Circle,Delhi,6,10000,1 Feb' 22,Be an early applicant,"Internet of Things (IoT) , MS-Excel , ","Certificate , ",2,0,Marketing
66,120593442,Business Development (Sales),Shades Of Udaipur,Work From Home,3,5000,10 Feb' 22,54 applicants,"Email Marketing , English Proficiency (Spoken) , English Proficiency (Written) , MS-Excel , Social Media Marketing , ","Certificate , Letter of recommendation , Flexible work hours , ",2,0,Marketing
67,68749072,Marketing,Assence Technologies,Work From Home,2,1000,31 Jan' 22,Be an early applicant,"Creative Writing , Digital Marketing , Email Marketing , Facebook Marketing , Google AdWords , Google Analytics , Instagram Marketing , Search Engine Optimization (SEO) , ","Certificate , Letter of recommendation , Flexible work hours , 5 days a week , ",2,1,Marketing
68,555870,Product Management,Kaptune Media India Private Limited,Noida,3,10000,10 Feb' 22,Be an early applicant,"Product Management , ","Certificate , Letter of recommendation , Job offer , ",2,0,Computer Science
69,16658742,Content Writing,Craftbrain Media Private Limited,Work From Home,2,2000,1 Feb' 22,36 applicants,"Creative Writing , ","Certificate , Flexible work hours , ",1,0,Content Writing
70,4018120,Web Development,Ace Lumbers,Work From Home,2,5000,2 Feb' 22,Be an early applicant,"Search Engine Marketing (SEM) , Search Engine Optimization (SEO) , WordPress , ","Certificate , Letter of recommendation , Flexible work hours , ",1,0,Computer Science
71,46943152,Marketing,AGASS,Work From Home,2,1000,12 Feb' 22,Be an early applicant,"Digital Marketing , Email Marketing , English Proficiency (Written) , MS-Excel , Social Media Marketing , ","Certificate , Flexible work hours , ",20,0,Marketing
72,20371782,Accounts,Global Nexus,Delhi,2,2000,7 Feb' 22,51 applicants,"MS-Excel , MS-Office , ","Certificate , Letter of recommendation , Job offer , ",2,0,Finance
73,121275256,Social Media Marketing,Artemis Foundation,Work From Home,1,0,13 Feb' 22,29 applicants,,"Certificate , Letter of recommendation , Flexible work hours , ",15,0,Marketing
74,9287356,Digital Marketing,Contriver,Work From Home,2,3000,10 Feb' 22,Be an early applicant,"Adobe Photoshop , Adobe Premiere Pro , Facebook Marketing , Instagram Marketing , Search Engine Optimization (SEO) , WordPress , ","Certificate , Letter of recommendation , Flexible work hours , 5 days a week , ",10,0,Content Writing
75,117213202,Customer Success,Faclon,Mumbai,3,4000,11 Feb' 22,Be an early applicant,"Client Relationship , English Proficiency (Spoken) , Microsoft PowerApps , MS-Excel , ","Certificate , Letter of recommendation , Flexible work hours , Informal dress code , Job offer , ",2,0,Marketing
76,104356540,Digital Marketing,NKTechnologies ITSol Private Limited,Ghaziabad,3,5000,31 Jan' 22,Be an early applicant,"Google AdWords , Search Engine Optimization (SEO) , ","Certificate , Letter of recommendation , Free snacks & beverages , ",2,0,Marketing
77,1786332,Mobile App Development,Advance Technology Systems,Work From Home,1,1000,7 Feb' 22,29 applicants,"Android , ","Certificate , Letter of recommendation , Flexible work hours , 5 days a week , ",1,0,Computer Science
78,65440110,Business Development (Sales),La Publicite,Navi Mumbai,3,10000,1 Feb' 22,Be an early applicant,"Client Relationship , English Proficiency (Spoken) , English Proficiency (Written) , MS-Office , ","Certificate , Letter of recommendation , Informal dress code , Job offer , ",1,0,Marketing
79,37289442,Human Resources (HR),Stark Digital Media Services Private Limited,Pune,3,4000,8 Feb' 22,Be an early applicant,"English Proficiency (Spoken) , English Proficiency (Written) , MS-Excel , Recruitment , ","Certificate , 5 days a week , ",3,0,Human Resources
80,53897722,Marketing,Kuber Enterprises,Lucknow,6,4000,8 Feb' 22,Be an early applicant,,"Certificate , Letter of recommendation , Flexible work hours , Informal dress code , ",3,1,Marketing
81,35982102,Human Resources (HR),Vahan Technologies India Private Limited,Work From Home,6,20000,9 Feb' 22,261 applicants,"English Proficiency (Spoken) , Google Suite (G Suite) , MS-Excel , MS-Office , ","Certificate , Letter of recommendation , Flexible work hours , 5 days a week , Job offer , ",2,0,Human Resources
82,65634402,Sales Operations,Sectona Technologies,Work From Home,6,20000,1 Feb' 22,66 applicants,"English Proficiency (Spoken) , ","Certificate , Flexible work hours , ",1,0,Marketing
83,90297606,Digital Marketing,MEAU,Work From Home,2,2000,4 Feb' 22,Be an early applicant,"Creative Writing , Digital Marketing , Search Engine Optimization (SEO) , Social Media Marketing , ","Certificate , Letter of recommendation , Flexible work hours , ",5,0,Marketing
84,41764006,Human Resources (HR),Cron Labs,Bangalore,6,10000,1 Feb' 22,33 applicants,"English Proficiency (Spoken) , English Proficiency (Written) , MS-Excel , MS-Word , ","Certificate , Letter of recommendation , Flexible work hours , 5 days a week , Job offer , ",1,0,Human Resources
85,29014482,Graphic Design,ACE Corporate Gifts,Hyderabad,2,5000,3 Feb' 22,Be an early applicant,"CorelDRAW , ","Certificate , Letter of recommendation , Flexible work hours , Informal dress code , 5 days a week , ",1,1,Graphic Design
